                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     97,                 2.1416,                 2.1576,                0.88952,                0.60453,                 0.2623,                0.26339,                0.08906,                  2.596,                   2.53,                0.93048,              0.0014569,              0.0014569,              0.0014569
                     98,                 2.2599,                 2.3445,                0.91263,                0.52975,                 0.2623,                0.28283,                0.09604,                 2.6407,                 2.2327,                0.93059,              0.0014513,              0.0014513,              0.0014513
                     99,                 2.1798,                 2.5273,                 0.8694,                 0.5461,                0.34426,                0.39586,                0.13511,                 2.4259,                   2.15,                0.90914,              0.0014456,              0.0014456,              0.0014456
                    100,                 2.2309,                  1.948,                  0.892,                0.58025,                0.37705,                0.40043,                0.13191,                 2.5216,                   2.07,                0.91521,              0.0014399,              0.0014399,              0.0014399
                    101,                 2.3564,                  2.161,                0.92914,                0.38987,                0.39344,                0.31104,                0.10405,                 2.7544,                 2.4615,                0.94959,              0.0014343,              0.0014343,              0.0014343
                    102,                 2.4104,                 1.9947,                 0.9263,                0.50485,                0.27869,                 0.2758,                0.07969,                 2.7568,                 2.6113,                0.94186,              0.0014286,              0.0014286,              0.0014286
                    103,                 2.1506,                 2.1345,                0.90251,                0.54537,                 0.3933,                0.40086,                0.11976,                 2.6469,                 2.2899,                0.92952,               0.001423,               0.001423,               0.001423
                    104,                 2.3065,                 2.1968,                0.91456,                0.58291,                0.27869,                 0.3028,                0.08281,                  2.692,                 2.6137,                0.93837,              0.0014173,              0.0014173,              0.0014173
                    105,                 2.1663,                 2.0743,                 0.8814,                0.29186,                0.32787,                0.23665,                0.06511,                 2.6986,                   2.69,                0.94184,              0.0014117,              0.0014117,              0.0014117
                    106,                 2.2201,                 2.0084,                0.88193,                0.25151,                0.27869,                0.16964,                0.04985,                 2.6296,                 3.1425,                0.92832,               0.001406,               0.001406,               0.001406
                    107,                 2.1779,                 1.8841,                0.92478,                0.34609,                0.29508,                0.21478,                0.06942,                 2.6528,                 2.6851,                0.92499,              0.0014003,              0.0014003,              0.0014003
                    108,                  2.045,                 1.7505,                0.88969,                0.28341,                0.32787,                0.25501,                0.08578,                 2.5156,                 2.6141,                0.91676,              0.0013947,              0.0013947,              0.0013947
                    109,                 2.0669,                 1.8905,                0.89016,                0.48449,                0.29508,                0.29376,                0.08422,                 2.5638,                 2.3664,                0.92463,               0.001389,               0.001389,               0.001389
                    110,                   2.08,                 2.1696,                0.89541,                0.47933,                0.37731,                0.39709,                0.11929,                 2.6288,                 2.3767,                 0.9355,              0.0013834,              0.0013834,              0.0013834
                    111,                 2.1398,                 1.9405,                0.93088,                0.63017,                0.34426,                0.39142,                 0.0988,                 2.6419,                 2.3726,                0.93498,              0.0013777,              0.0013777,              0.0013777
                    112,                   2.17,                 1.9205,                0.90601,                 0.4267,                0.34426,                0.30451,                 0.0877,                 2.6902,                 2.5213,                0.93374,              0.0013721,              0.0013721,              0.0013721
                    113,                 2.0517,                 1.7028,                0.88944,                0.60756,                0.37705,                0.35735,                0.11521,                 2.5531,                 2.9858,                0.92542,              0.0013664,              0.0013664,              0.0013664
                    114,                 2.1272,                 1.9332,                0.90206,                0.56315,                0.34426,                0.36011,                0.11559,                 2.5957,                 2.9834,                 0.9352,              0.0013607,              0.0013607,              0.0013607
                    115,                  2.296,                 1.9551,                0.91837,                0.46156,                0.40984,                0.34967,                0.10938,                 2.5718,                 2.4743,                0.93034,              0.0013551,              0.0013551,              0.0013551
                    116,                 2.2591,                 1.8122,                0.89761,                0.60378,                 0.2623,                0.28876,                0.08468,                 2.6149,                 3.0944,                0.92542,              0.0013494,              0.0013494,              0.0013494
                    117,                 2.0793,                 2.1848,                0.85114,                0.64141,                 0.2459,                0.29339,                 0.0864,                 2.5691,                 3.2865,                0.92001,              0.0013438,              0.0013438,              0.0013438
                    118,                 2.4373,                 2.5854,                0.91414,                0.77425,                0.31148,                0.33251,                0.09572,                 2.5792,                 2.7699,                0.91614,              0.0013381,              0.0013381,              0.0013381
                    119,                 2.3405,                  2.075,                0.90906,                0.60155,                0.18033,                  0.214,                0.07122,                 2.9267,                 3.0829,                0.95369,              0.0013325,              0.0013325,              0.0013325
                    120,                 2.2675,                 2.0244,                0.89554,                0.28992,                0.09836,                0.07813,                0.02986,                 2.9901,                  3.272,                0.96306,              0.0013268,              0.0013268,              0.0013268
                    121,                 2.3031,                 2.3367,                0.86766,                0.50181,                0.22951,                0.25774,                0.08273,                 2.5831,                 2.8143,                0.91333,              0.0013211,              0.0013211,              0.0013211
                    122,                 2.3132,                 2.0069,                0.89853,                0.40706,                0.32787,                0.30189,                 0.0933,                 2.6442,                 2.7971,                0.93003,              0.0013155,              0.0013155,              0.0013155
                    123,                 2.2744,                 2.0379,                0.88581,                0.47056,                0.31148,                0.26104,                0.07602,                 2.6735,                 2.6951,                0.93257,              0.0013098,              0.0013098,              0.0013098
                    124,                 2.2403,                 2.0362,                0.94282,                0.54102,                0.27869,                0.25047,                0.06929,                 2.7601,                 3.1663,                0.94967,              0.0013042,              0.0013042,              0.0013042
                    125,                 2.2125,                 2.0989,                0.90387,                0.47565,                 0.2459,                0.26247,                0.08917,                 2.6881,                 2.8657,                0.94206,              0.0012985,              0.0012985,              0.0012985
                    126,                 2.0224,                 1.8285,                0.86159,                0.55555,                0.34843,                  0.375,                0.11957,                 2.7326,                 2.3787,                0.93563,              0.0012929,              0.0012929,              0.0012929
                    127,                 2.2139,                  1.954,                0.92026,                0.54094,                0.39344,                0.33475,                0.08951,                 2.7504,                 2.3898,                0.93771,              0.0012872,              0.0012872,              0.0012872
                    128,                 2.2031,                 2.0439,                0.90051,                0.57646,                0.29508,                0.31793,                0.11036,                 2.6128,                 2.5758,                0.92007,              0.0012815,              0.0012815,              0.0012815
                    129,                 2.1648,                 1.8759,                0.89122,                0.62462,                 0.2459,                0.26307,                0.09034,                 2.6343,                 2.6115,                0.91904,              0.0012759,              0.0012759,              0.0012759
                    130,                 2.1067,                 1.7423,                0.91164,                0.61631,                 0.2623,                0.29544,                0.09803,                 2.6878,                 2.7516,                 0.9299,              0.0012702,              0.0012702,              0.0012702
                    131,                 2.1394,                 1.8774,                0.88031,                0.55498,                0.34426,                0.36312,                0.11495,                 2.6019,                 2.6901,                0.91732,              0.0012646,              0.0012646,              0.0012646
                    132,                 2.0906,                 1.7931,                 0.9118,                0.51322,                0.31148,                0.30501,                0.10209,                 2.5385,                 2.6843,                0.90496,              0.0012589,              0.0012589,              0.0012589
                    133,                 1.9026,                 1.6018,                0.89505,                0.29511,                 0.2459,                0.20543,                0.06205,                 2.7451,                 2.9716,                0.93674,              0.0012533,              0.0012533,              0.0012533
                    134,                 2.2235,                 1.8194,                0.92377,                0.29083,                0.28915,                0.23767,                 0.0768,                 2.8383,                 2.7159,                0.95426,              0.0012476,              0.0012476,              0.0012476
                    135,                 2.0081,                 1.7411,                0.88109,                 0.3013,                0.40984,                0.29995,                0.09672,                 2.6327,                 2.7016,                0.93865,              0.0012419,              0.0012419,              0.0012419
                    136,                 1.9809,                 1.7156,                0.86636,                0.48945,                 0.2623,                0.29393,                0.09371,                 2.7445,                 2.6575,                0.94363,              0.0012363,              0.0012363,              0.0012363
                    137,                 2.0818,                  1.715,                0.89662,                0.55108,                0.40984,                0.40891,                0.13208,                 2.7245,                 2.2952,                0.93637,              0.0012306,              0.0012306,              0.0012306
                    138,                 2.1383,                 1.7963,                0.88813,                0.54788,                0.42623,                0.45017,                0.16796,                  2.629,                 2.2037,                0.92211,               0.001225,               0.001225,               0.001225
                    139,                 2.0032,                 1.6008,                0.88521,                0.61619,                0.42623,                0.44243,                0.14643,                 2.5817,                 2.3195,                0.91347,              0.0012193,              0.0012193,              0.0012193
                    140,                 2.1188,                 1.6507,                0.87874,                 0.5618,                0.37705,                0.38273,                0.14329,                 2.5579,                  2.557,                0.91026,              0.0012137,              0.0012137,              0.0012137
                    141,                 2.2517,                 2.0613,                0.89614,                0.56546,                 0.2459,                0.29832,                0.10095,                 2.6647,                 3.3615,                0.92217,               0.001208,               0.001208,               0.001208
                    142,                 2.1418,                 1.9116,                0.86781,                0.37492,                0.21311,                0.20638,                0.06109,                 2.7439,                   3.32,                0.92935,              0.0012023,              0.0012023,              0.0012023
                    143,                  2.016,                  1.782,                0.90094,                0.40521,                0.19672,                0.19932,                0.05205,                 2.7598,                 3.6631,                0.93327,              0.0011967,              0.0011967,              0.0011967
                    144,                 2.0564,                 1.6259,                0.89904,                0.49247,                0.19672,                0.22015,                0.06496,                 2.6532,                 3.3439,                0.92562,               0.001191,               0.001191,               0.001191
                    145,                 2.0018,                 1.9324,                0.84695,                0.43032,                0.19672,                0.23907,                0.07581,                 2.5929,                 3.1199,                0.93036,              0.0011854,              0.0011854,              0.0011854
                    146,                 2.0839,                 1.6812,                0.85813,                0.66103,                0.29508,                0.38203,                0.12337,                 2.5183,                 2.6032,                0.91489,              0.0011797,              0.0011797,              0.0011797
                    147,                 2.0989,                 1.6026,                0.89673,                0.38139,                0.32787,                0.27147,                0.09445,                 2.6506,                 3.0386,                0.92893,              0.0011741,              0.0011741,              0.0011741
                    148,                 1.9428,                 1.5211,                0.89258,                0.33015,                0.18033,                0.15743,                0.04342,                 2.9013,                 2.9149,                0.95945,              0.0011684,              0.0011684,              0.0011684
